1, John Smith, 1975-06-30, IN, 123 Main St, Anytown, CA, 12345, john.smith@example.com, 5551234567,
2, Jane Doe, 1900-01-15, IN, 456 Elm St, Anycity, NY, 67890, jane.doe@example.com, 5552345678,
3, David Johnson, 1957-08-10, IN, 789 Oak St, Anystate, TX, 34567, david.johnson@example.com, 5553456789,
4, Emma Thompson, 2001-05-20, ST, 321 Maple Ave, Anothercity, FL, 23456, emma.thompson@example.com, 5554567890,
5, Oliver Davis, 2015-12-01, ME, 654 Cedar St, Somecity, IL, 45678, oliver.davis@example.com, 5555678901,
6, Sophie Wilson, 1982-02-14, IN, 987 Pine St, Anotherstate, MI, 56789, sophie.wilson@example.com, 5556789012,
7, Liam Baker, 2008-10-05, ST, 246 Oak Ave, Anothercity, MA, 67890, liam.baker@example.com, 5557890123,
8, Ava Mitchell, 2010-03-27, ST, 369 Elm St, Somestate, PA, 78901, ava.mitchell@example.com, 5558901234,
9, Noah Brown, 2016-07-15, GR, 753 Maple St, Somewhere, OH, 89012, noah.brown@example.com, 5559012345,
10, Isabella Davis, 2005-11-28, ME, 852 Pine Ave, Anycity, VA, 90123, isabella.davis@example.com, 5550123456,
11, William Taylor, 1940-03-01, IN, 963 Oak St, Somewhere, OR, 23456, william.taylor@example.com, 5551234567,
12, Sophia Wilson, 1998-09-17, ST, 741 Maple Ave, Anycity, WA, 34567, sophia.wilson@example.com, 5552345678,
13, Logan Thomas, 2012-06-22, GR, 852 Cedar St, Anothercity, NJ, 45678, logan.thomas@example.com, 5553456789,
14, Mia Lee, 2018-01-10, GR, 159 Oak Ave, Somestate, MD, 56789, mia.lee@example.com, 5554567890,
15, Ethan Brown, 2006-04-15, ST, 753 Pine St, Somewhere, TX, 67890, ethan.brown@example.com, 5555678901,
16, Madison Garcia, 1955-11-30, IN, 369 Maple St, Anystate, GA, 78901, madison.garcia@example.com, 5556789012,
17, Jacob Hernandez, 2011-08-18, GR, 963 Elm Ave, Somewhere, CA, 89012, jacob.hernandez@example.com, 5557890123,
18, Abigail Martinez, 2014-01-02, GR, 852 Pine St, Anothercity, NY, 90123, abigail.martinez@example.com, 5558901234,
19, Michael Rodriguez, 1952-12-24, IN, 753 Cedar St, Anycity, MA, 12345, michael.rodriguez@example.com, 5559012345,
20, Emily Young, 2000-05-10, ST, 369 Oak Ave, Somestate, PA, 23456, emily.young@example.com, 5550123456,
21, Daniel Scott, 2013-02-14, GR, 852 Pine Ave, Anothercity, VA, 34567, daniel.scott@example.com, 5551234567,
22, Madison Perez, 2019-09-17, GR, 159 Cedar St, Somewhere, OH, 45678, madison.perez@example.com, 5552345678,
23, Aiden Roberts, 2010-06-22, ST, 753 Oak St, Anycity, WA, 56789, aiden.roberts@example.com, 5553456789,
24, Samantha Turner, 1945-01-10, IN, 369 Maple Ave, Somestate, NJ, 67890, samantha.turner@example.com, 5554567890,
25, Alexander Phillips, 1960-04-15, IN, 963 Pine St, Anycity, MD, 78901, alexander.phillips@example.com, 5555678901,
